,RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
29383,25200,1,Bx6,FOOD CENTER DR/MARKET ST,40.809978,-73.87665600000001,RIVERSIDE DR,40.836205,-73.948479,NYCT_7798,589.0,165.0,W 155 ST/EDGECOMBE AV,0.5 miles away,873.0,2017-08-01 07:05:50,07:08:01
31842,25800,1,Bx6,FOOD CENTER DR/MARKET ST,40.809978,-73.87665600000001,RIVERSIDE DR,40.836205,-73.948479,NYCT_7798,619.0,113.0,W 157 ST/EDWARD M MORGAN PL,at stop,9.0,2017-08-01 07:11:41,07:11:00
34456,26400,1,Bx6,FOOD CENTER DR/MARKET ST,40.809978,-73.87665600000001,RIVERSIDE DR,40.836205,-73.948479,NYCT_7798,627.0,102.0,RIVERSIDE DR W/157-10 RIVERSIDE DR W,approaching,32.0,2017-08-01 07:22:27,07:13:00
37251,27000,0,Bx6,RIVERSIDE DR W/157-10 RIVERSIDE DR W,40.836311,-73.948433,HUNTS POINT,40.810009,-73.876434,NYCT_7798,590.0,150.0,macombs/bridge ap,< 1 stop away,566.0,2017-08-01 07:34:08,07:34:23
40124,27600,0,Bx6,RIVERSIDE DR W/157-10 RIVERSIDE DR W,40.836311,-73.948433,HUNTS POINT,40.810009,-73.876434,NYCT_7798,576.0,211.0,E 161 ST/CONCOURSE VILLAGE E,approaching,62.0,2017-08-01 07:42:40,07:44:20
40125,27600,0,Bx6,RIVERSIDE DR W/157-10 RIVERSIDE DR W,40.836311,-73.948433,HUNTS POINT,40.810009,-73.876434,NYCT_7798,576.0,211.0,E 161 ST/CONCOURSE VILLAGE E,approaching,62.0,2017-08-01 07:42:40,07:44:07
43139,28200,0,Bx6,RIVERSIDE DR W/157-10 RIVERSIDE DR W,40.836311,-73.948433,HUNTS POINT,40.810009,-73.876434,NYCT_7798,565.0,259.0,E 163 ST/TRINITY AV,at stop,15.0,,07:53:46
43140,28200,0,Bx6,RIVERSIDE DR W/157-10 RIVERSIDE DR W,40.836311,-73.948433,HUNTS POINT,40.810009,-73.876434,NYCT_7798,565.0,259.0,E 163 ST/TRINITY AV,at stop,15.0,,07:53:40
46205,28800,0,Bx6,RIVERSIDE DR W/157-10 RIVERSIDE DR W,40.836311,-73.948433,HUNTS POINT,40.810009,-73.876434,NYCT_7798,547.0,315.0,HUNTS POINT AV/GARRISON AV,approaching,61.0,2017-08-01 08:02:53,08:02:42
49292,29400,0,Bx6,RIVERSIDE DR W/157-10 RIVERSIDE DR W,40.836311,-73.948433,HUNTS POINT,40.810009,-73.876434,NYCT_7798,491.0,381.0,FOOD CENTER DR/HUNTS PT MARKET,approaching,43.0,2017-08-01 08:11:54,08:16:54
