,RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
30488,25200,0,M72,WEST 66 ST/FREEDOM PL,40.776501,-73.988632,EAST SIDE YORK AV CROSSTOWN,40.76696,-73.95414,NYCT_5222,303.0,60.0,E 72 ST/3 AV,at stop,17.0,,06:59:41
30489,25200,0,M72,WEST 66 ST/FREEDOM PL,40.776501,-73.988632,EAST SIDE YORK AV CROSSTOWN,40.76696,-73.95414,NYCT_5222,303.0,60.0,E 72 ST/3 AV,at stop,17.0,,07:00:41
33010,25800,1,M72,E 72 ST/YORK AV,40.766949,-73.95411700000001,WEST SIDE FREEDOM PL XTOWN,40.776489,-73.988724,NYCT_5222,287.0,80.0,E 72 ST/1 AV,< 1 stop away,301.0,,07:13:00
35730,26400,1,M72,E 72 ST/YORK AV,40.766949,-73.95411700000001,WEST SIDE FREEDOM PL XTOWN,40.776489,-73.988724,NYCT_5222,299.0,26.0,CENTRAL PK W/W 66 ST,0.6 miles away,944.0,2017-08-01 07:25:13,07:26:54
35731,26400,1,M72,E 72 ST/YORK AV,40.766949,-73.95411700000001,WEST SIDE FREEDOM PL XTOWN,40.776489,-73.988724,NYCT_5222,299.0,26.0,CENTRAL PK W/W 66 ST,0.6 miles away,944.0,2017-08-01 07:25:13,07:25:54
38549,27000,1,M72,E 72 ST/YORK AV,40.766949,-73.95411700000001,WEST SIDE FREEDOM PL XTOWN,40.776489,-73.988724,NYCT_5222,346.0,-17.0,W 72 ST/AMSTERDAM AV,at stop,2.0,2017-08-01 07:32:28,07:32:20
38550,27000,1,M72,E 72 ST/YORK AV,40.766949,-73.95411700000001,WEST SIDE FREEDOM PL XTOWN,40.776489,-73.988724,NYCT_5222,346.0,-17.0,W 72 ST/AMSTERDAM AV,at stop,2.0,2017-08-01 07:32:28,07:30:30
41489,27600,1,M72,E 72 ST/YORK AV,40.766949,-73.95411700000001,WEST SIDE FREEDOM PL XTOWN,40.776489,-73.988724,NYCT_5222,337.0,-44.0,W 66 ST/FREEDOM PL,at stop,13.0,2017-08-01 07:42:29,07:39:00
41490,27600,1,M72,E 72 ST/YORK AV,40.766949,-73.95411700000001,WEST SIDE FREEDOM PL XTOWN,40.776489,-73.988724,NYCT_5222,337.0,-44.0,W 66 ST/FREEDOM PL,at stop,13.0,2017-08-01 07:42:29,07:36:00
44530,28200,1,M72,E 72 ST/YORK AV,40.766949,-73.95411700000001,WEST SIDE FREEDOM PL XTOWN,40.776489,-73.988724,NYCT_5222,337.0,-43.0,W 66 ST/FREEDOM PL,at stop,0.0,,07:39:00
