,RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
29949,25200,1,Bx2,SEDGWICK AV/FT INDEPENDENCE ST,40.878632,-73.897751,MOTT HAVEN 136 ST via CONCOURSE,40.809653999999995,-73.92836,NYCT_4713,621.0,215.0,GRAND CONCOURSE/E 167 ST,approaching,83.0,,07:00:35
32448,25800,1,Bx2,SEDGWICK AV/FT INDEPENDENCE ST,40.878632,-73.897751,MOTT HAVEN 136 ST via CONCOURSE,40.809653999999995,-73.92836,NYCT_4713,538.0,190.0,E 149 ST/MORRIS AV,< 1 stop away,198.0,,07:11:57
35096,26400,1,Bx2,SEDGWICK AV/FT INDEPENDENCE ST,40.878632,-73.897751,MOTT HAVEN 136 ST via CONCOURSE,40.809653999999995,-73.92836,NYCT_4713,503.0,178.0,E 136 ST/LINCOLN AV,< 1 stop away,171.0,,07:19:00
37913,27000,1,Bx2,SEDGWICK AV/FT INDEPENDENCE ST,40.878632,-73.897751,MOTT HAVEN 136 ST via CONCOURSE,40.809653999999995,-73.92836,NYCT_4713,503.0,178.0,E 136 ST/LINCOLN AV,< 1 stop away,168.0,2017-08-01 07:33:47,07:19:00
40816,27600,0,Bx2,LINCOLN AV/E 137 ST,40.809616,-73.928276,KNGSBRDG HTS FT INDEP ST via CONCOURSE,40.878746,-73.898033,NYCT_4713,527.0,217.0,E 149 ST/MELROSE AV,< 1 stop away,152.0,2017-08-01 07:43:14,07:43:00
43836,28200,0,Bx2,LINCOLN AV/E 137 ST,40.809616,-73.928276,KNGSBRDG HTS FT INDEP ST via CONCOURSE,40.878746,-73.898033,NYCT_4713,544.0,181.0,GRAND CONCOURSE/E 153 ST,< 1 stop away,252.0,2017-08-01 07:53:29,07:50:07
46913,28800,0,Bx2,LINCOLN AV/E 137 ST,40.809616,-73.928276,KNGSBRDG HTS FT INDEP ST via CONCOURSE,40.878746,-73.898033,NYCT_4713,621.0,216.0,GRAND CONCOURSE/E 167 ST,at stop,9.0,,08:01:06
49981,29400,0,Bx2,LINCOLN AV/E 137 ST,40.809616,-73.928276,KNGSBRDG HTS FT INDEP ST via CONCOURSE,40.878746,-73.898033,NYCT_4713,668.0,238.0,GRAND CONCOURSE/CROSS BX EXP OVERPASS,approaching,97.0,2017-08-01 08:12:01,08:09:18
53058,30000,0,Bx2,LINCOLN AV/E 137 ST,40.809616,-73.928276,KNGSBRDG HTS FT INDEP ST via CONCOURSE,40.878746,-73.898033,NYCT_4713,713.0,270.0,GRAND CONCOURSE/E 180 ST,at stop,10.0,2017-08-01 08:22:32,08:17:17
56094,30600,0,Bx2,LINCOLN AV/E 137 ST,40.809616,-73.928276,KNGSBRDG HTS FT INDEP ST via CONCOURSE,40.878746,-73.898033,NYCT_4713,754.0,289.0,GRAND CONCOURSE/E FORDHAM RD,approaching,143.0,2017-08-01 08:32:20,08:26:00
59085,31200,0,Bx2,LINCOLN AV/E 137 ST,40.809616,-73.928276,KNGSBRDG HTS FT INDEP ST via CONCOURSE,40.878746,-73.898033,NYCT_4713,828.0,333.0,GRAND CONCOURSE/E MOSHOLU PY S,approaching,98.0,2017-08-01 08:43:06,08:36:54
62012,31800,0,Bx2,LINCOLN AV/E 137 ST,40.809616,-73.928276,KNGSBRDG HTS FT INDEP ST via CONCOURSE,40.878746,-73.898033,NYCT_4713,841.0,291.0,SEDGWICK AV/FT INDEPENDENCE ST,< 1 stop away,163.0,2017-08-01 08:52:05,08:45:00
