,RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
28428,25200,0,B41,FLATBUSH AV/KINGS PLAZA,40.609253,-73.921539,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-70.0,-50.0,CADMAN PLZ W/MONTAGUE ST,at stop,20.0,2017-08-01 07:02:25,07:01:53
30856,25800,0,B41,FLATBUSH AV/KINGS PLAZA,40.609253,-73.921539,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-61.0,-51.0,TILLARY ST/CADMAN PZ W,at stop,12.0,2017-08-01 07:11:42,07:03:00
33402,26400,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,KINGS PLAZA via FLATBSH,40.609211,-73.921516,NYCT_5038,-59.0,-51.0,CADMAN PLAZA WEST/JOHNSON ST,at stop,0.0,,07:23:00
36146,27000,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,KINGS PLAZA via FLATBSH,40.609211,-73.921516,NYCT_5038,-85.0,-38.0,LIVINGSTON ST/HOYT ST,< 1 stop away,179.0,2017-08-01 07:33:32,07:29:45
38974,27600,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,KINGS PLAZA via FLATBSH,40.609211,-73.921516,NYCT_5038,-133.0,7.0,FLATBUSH AV/ST MARKS AV,approaching,107.0,2017-08-01 07:42:54,07:37:34
41938,28200,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,KINGS PLAZA via FLATBSH,40.609211,-73.921516,NYCT_5038,-227.0,57.0,FLATBUSH AV/LINCOLN RD,at stop,21.0,2017-08-01 07:52:06,07:48:08
44992,28800,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,KINGS PLAZA via FLATBSH,40.609211,-73.921516,NYCT_5038,-307.0,68.0,FLATBUSH AV/BEVERLY RD,approaching,32.0,2017-08-01 08:02:31,07:58:20
48070,29400,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,KINGS PLAZA via FLATBSH,40.609211,-73.921516,NYCT_5038,-370.0,109.0,FLATBUSH AV/NOSTRAND AV,at stop,0.0,,08:08:00
51133,30000,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,KINGS PLAZA via FLATBSH,40.609211,-73.921516,NYCT_5038,-451.0,175.0,FLATBUSH AV/FILLMORE AV,approaching,75.0,2017-08-01 08:22:34,08:19:46
54177,30600,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,KINGS PLAZA via FLATBSH,40.609211,-73.921516,NYCT_5038,-484.0,202.0,Flatbush Av/Av U,approaching,67.0,2017-08-01 08:31:51,08:25:00
57192,31200,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,KINGS PLAZA via FLATBSH,40.609211,-73.921516,NYCT_5038,-483.0,202.0,Flatbush Av/Av U,approaching,49.0,2017-08-01 08:42:33,08:25:00
60171,31800,0,B41,FLATBUSH AV/KINGS PLAZA,40.609253,-73.921539,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-423.0,151.0,FLATBUSH AV/KINGS HY,< 1 stop away,162.0,2017-08-01 08:52:32,08:48:40
63055,32400,0,B41,FLATBUSH AV/KINGS PLAZA,40.609253,-73.921539,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-367.0,107.0,FLATBUSH AV/NOSTRAND AV,at stop,23.0,2017-08-01 09:02:34,08:55:00
65852,33000,0,B41,FLATBUSH AV/KINGS PLAZA,40.609253,-73.921539,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-278.0,65.0,FLATBUSH AV/CHURCH AV,at stop,19.0,2017-08-01 09:11:52,09:05:00
68504,33600,0,B41,FLATBUSH AV/KINGS PLAZA,40.609253,-73.921539,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-192.0,39.0,FLATBUSH AV/GRAND ARMY PLZ,< 1 stop away,514.0,2017-08-01 09:22:58,09:16:38
71048,34200,0,B41,FLATBUSH AV/KINGS PLAZA,40.609253,-73.921539,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-114.0,-3.0,FLATBUSH AV/ATLANTIC AV,approaching,46.0,2017-08-01 09:31:44,09:24:00
73480,34800,0,B41,FLATBUSH AV/KINGS PLAZA,40.609253,-73.921539,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-87.0,-35.0,LIVINGSTON ST/SMITH ST,approaching,112.0,2017-08-01 09:43:47,09:32:48
75833,35400,0,B41,FLATBUSH AV/KINGS PLAZA,40.609253,-73.921539,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-69.0,-49.0,TILLARY ST/CADMAN PZ W,< 1 stop away,200.0,2017-08-01 09:53:50,09:39:00
78109,36000,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,BERGEN BCH VETERANS AV via FLATBSH,40.620052,-73.908203,NYCT_5038,-79.0,-45.0,LIVINGSTON ST/SMITH ST,< 1 stop away,221.0,2017-08-01 10:04:06,10:00:37
80305,36600,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,BERGEN BCH VETERANS AV via FLATBSH,40.620052,-73.908203,NYCT_5038,-108.0,-6.0,FLATBUSH AV/ATLANTIC AV,< 1 stop away,168.0,2017-08-01 10:13:20,10:09:00
82440,37200,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,BERGEN BCH VETERANS AV via FLATBSH,40.620052,-73.908203,NYCT_5038,-168.0,24.0,FLATBUSH AV/GRAND ARMY PZ,< 1 stop away,185.0,2017-08-01 10:22:50,10:15:46
84526,37800,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,BERGEN BCH VETERANS AV via FLATBSH,40.620052,-73.908203,NYCT_5038,-269.0,64.0,FLATBUSH AV/CATON AV,at stop,10.0,2017-08-01 10:32:40,10:28:01
86580,38400,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,BERGEN BCH VETERANS AV via FLATBSH,40.620052,-73.908203,NYCT_5038,-307.0,68.0,FLATBUSH AV/BEVERLY RD,approaching,40.0,2017-08-01 10:42:16,10:33:50
88604,39000,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,BERGEN BCH VETERANS AV via FLATBSH,40.620052,-73.908203,NYCT_5038,-358.0,100.0,FLATBUSH AV/GLENWOOD RD,at stop,12.0,2017-08-01 10:52:41,10:42:56
90615,39600,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,BERGEN BCH VETERANS AV via FLATBSH,40.620052,-73.908203,NYCT_5038,-420.0,149.0,FLATBUSH AV/FLATLANDS AV,approaching,88.0,2017-08-01 11:02:50,10:52:29
92589,40200,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,BERGEN BCH VETERANS AV via FLATBSH,40.620052,-73.908203,NYCT_5038,-428.0,249.0,VETERANS AV/E 71 ST,at stop,3.0,2017-08-01 11:12:42,11:04:00
94588,40800,0,B41,E 70 ST/VETERANS AV,40.619934,-73.90870699999999,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-433.0,182.0,AV N/UTICA AV,at stop,9.0,2017-08-01 11:22:43,11:21:51
96588,41400,0,B41,E 70 ST/VETERANS AV,40.619934,-73.90870699999999,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-398.0,131.0,FLATBUSH AV/NOSTRAND AV,0.6 miles away,932.0,2017-08-01 11:35:41,11:34:00
98573,42000,0,B41,E 70 ST/VETERANS AV,40.619934,-73.90870699999999,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-337.0,84.0,FLATBUSH AV/FOSTER AV,at stop,5.0,2017-08-01 11:42:12,11:38:45
100544,42600,0,B41,E 70 ST/VETERANS AV,40.619934,-73.90870699999999,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-240.0,59.0,FLATBUSH AV/EMPIRE BL,< 1 stop away,533.0,2017-08-01 11:55:09,11:55:00
102516,43200,0,B41,E 70 ST/VETERANS AV,40.619934,-73.90870699999999,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-154.0,19.0,FLATBUSH AV/PARK PL,< 1 stop away,207.0,2017-08-01 12:03:49,12:03:51
104531,43800,0,B41,E 70 ST/VETERANS AV,40.619934,-73.90870699999999,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-110.0,-5.0,LIVINGSTON ST/NEVINS ST,< 1 stop away,421.0,2017-08-01 12:14:54,12:11:49
106539,44400,0,B41,E 70 ST/VETERANS AV,40.619934,-73.90870699999999,LTD DNTWN BKLYN CADMAN PLZ via FLATBUSH,40.695408,-73.99078399999999,NYCT_5038,-82.0,-45.0,JORALEMON ST/COURT ST,< 1 stop away,293.0,2017-08-01 12:26:23,12:20:14
108556,45000,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,LTD BERGEN BCH VETERANS AV via FLATBUSH,40.620052,-73.908203,NYCT_5038,-56.0,-49.0,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away,517.0,2017-08-01 12:35:23,12:38:12
110589,45600,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695534,-73.990829,LTD BERGEN BCH VETERANS AV via FLATBUSH,40.620052,-73.908203,NYCT_5038,-85.0,-39.0,LIVINGSTON ST/SMITH ST,at stop,14.0,2017-08-01 12:42:05,12:41:05
