,RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
29274,25200,0,B11,50 ST/5 AV,40.644859000000004,-74.010025,MIDWOOD FLATBUSH AV,40.632011,-73.947723,NYCT_420,-398.0,10.0,AV I/E 3 ST,approaching,33.0,,07:12:46
29275,25200,0,B11,50 ST/5 AV,40.644859000000004,-74.010025,MIDWOOD FLATBUSH AV,40.632011,-73.947723,NYCT_420,-398.0,10.0,AV I/E 3 ST,approaching,33.0,,07:03:20
31726,25800,0,B11,50 ST/5 AV,40.644859000000004,-74.010025,MIDWOOD FLATBUSH AV,40.632011,-73.947723,NYCT_420,-399.0,87.0,BEDFORD AV/AV J,approaching,149.0,,07:25:04
31727,25800,0,B11,50 ST/5 AV,40.644859000000004,-74.010025,MIDWOOD FLATBUSH AV,40.632011,-73.947723,NYCT_420,-399.0,87.0,BEDFORD AV/AV J,approaching,149.0,,07:15:04
34335,26400,0,B11,50 ST/5 AV,40.644859000000004,-74.010025,MIDWOOD FLATBUSH AV,40.632011,-73.947723,NYCT_420,-364.0,105.0,NOSTRAND AV / AV H,approaching,138.0,,07:33:00
34336,26400,0,B11,50 ST/5 AV,40.644859000000004,-74.010025,MIDWOOD FLATBUSH AV,40.632011,-73.947723,NYCT_420,-364.0,105.0,NOSTRAND AV / AV H,approaching,138.0,,07:23:00
37123,27000,0,B11,50 ST/5 AV,40.644859000000004,-74.010025,MIDWOOD FLATBUSH AV,40.632011,-73.947723,NYCT_420,-364.0,105.0,NOSTRAND AV / AV H,approaching,138.0,,07:33:00
37124,27000,0,B11,50 ST/5 AV,40.644859000000004,-74.010025,MIDWOOD FLATBUSH AV,40.632011,-73.947723,NYCT_420,-364.0,105.0,NOSTRAND AV / AV H,approaching,138.0,,07:23:00
39986,27600,1,B11,FLATBUSH AV/E 31 ST,40.631992,-73.946701,SUNSET PARK 1 AV - 58 ST,40.645618,-74.023521,NYCT_420,-387.0,90.0,BEDFORD AV/AV I,at stop,9.0,2017-08-01 07:42:29,07:42:38
42992,28200,1,B11,FLATBUSH AV/E 31 ST,40.631992,-73.946701,SUNSET PARK 1 AV - 58 ST,40.645618,-74.023521,NYCT_420,-393.0,41.0,AV I/CONEY ISLAND AV,approaching,42.0,2017-08-01 07:52:12,07:54:27
46058,28800,1,B11,FLATBUSH AV/E 31 ST,40.631992,-73.946701,SUNSET PARK 1 AV - 58 ST,40.645618,-74.023521,NYCT_420,-383.0,-12.0,18 AV/47 ST,at stop,11.0,2017-08-01 08:02:37,08:05:47
49149,29400,1,B11,FLATBUSH AV/E 31 ST,40.631992,-73.946701,SUNSET PARK 1 AV - 58 ST,40.645618,-74.023521,NYCT_420,-354.0,-57.0,49 ST/13 AV,at stop,9.0,2017-08-01 08:11:50,08:15:21
52228,30000,1,B11,FLATBUSH AV/E 31 ST,40.631992,-73.946701,SUNSET PARK 1 AV - 58 ST,40.645618,-74.023521,NYCT_420,-315.0,-105.0,49 ST/6 AV,< 1 stop away,217.0,,08:26:21
55264,30600,1,B11,FLATBUSH AV/E 31 ST,40.631992,-73.946701,SUNSET PARK 1 AV - 58 ST,40.645618,-74.023521,NYCT_420,-306.0,-149.0,55 ST/3 AV,at stop,9.0,2017-08-01 08:31:51,08:32:47
58256,31200,1,B11,FLATBUSH AV/E 31 ST,40.631992,-73.946701,SUNSET PARK 1 AV - 58 ST,40.645618,-74.023521,NYCT_420,-303.0,-169.0,58 ST/1 AV,at stop,3.0,2017-08-01 08:42:33,08:38:00
61198,31800,0,B11,58 ST/1 Av,40.64542,-74.023201,MIDWOOD FLATBUSH AV,40.632011,-73.947723,NYCT_420,-292.0,-150.0,52 ST/2 AV,approaching,37.0,2017-08-01 08:51:49,08:48:56
64047,32400,0,B11,58 ST/1 Av,40.64542,-74.023201,MIDWOOD FLATBUSH AV,40.632011,-73.947723,NYCT_420,-326.0,-97.0,50 ST/8 AV,at stop,14.0,2017-08-01 09:02:34,08:59:00
66794,33000,0,B11,58 ST/1 Av,40.64542,-74.023201,MIDWOOD FLATBUSH AV,40.632011,-73.947723,NYCT_420,-376.0,-35.0,50 ST/16 AV,approaching,90.0,2017-08-01 09:11:58,09:13:55
69386,33600,0,B11,58 ST/1 Av,40.64542,-74.023201,MIDWOOD FLATBUSH AV,40.632011,-73.947723,NYCT_420,-395.0,41.0,CONEY ISLAND AV/AV I,at stop,14.0,2017-08-01 09:21:48,09:27:53
71888,34200,0,B11,58 ST/1 Av,40.64542,-74.023201,MIDWOOD FLATBUSH AV,40.632011,-73.947723,NYCT_420,-367.0,87.0,BEDFORD AV/CAMPUS RD,at stop,0.0,2017-08-01 09:31:44,09:39:41
74294,34800,1,B11,FLATBUSH AV/E 31 ST,40.631992,-73.946701,SUNSET PARK 1 AV - 58 ST,40.645618,-74.023521,NYCT_420,-370.0,109.0,GLENWOOD RD/FLATBUSH AV,< 1 stop away,366.0,2017-08-01 09:43:25,10:04:16
