,RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
30324,25200,0,M3,CENTRAL PK N/5 AV,40.797165,-73.94914200000001,FT GEORGE 193 ST via MADSON via ST. NICH,40.858093,-73.925537,NYCT_6757,604.0,125.0,W 155 ST/AMSTERDAM AV,at stop,25.0,,07:04:58
32840,25800,0,M3,CENTRAL PK N/5 AV,40.797165,-73.94914200000001,FT GEORGE 193 ST via MADSON via ST. NICH,40.858093,-73.925537,NYCT_6757,675.0,147.0,ST NICHOLAS AV/W 176 ST,approaching,62.0,,07:15:46
35536,26400,0,M3,CENTRAL PK N/5 AV,40.797165,-73.94914200000001,FT GEORGE 193 ST via MADSON via ST. NICH,40.858093,-73.925537,NYCT_6757,735.0,184.0,FT GEORGE AV/66 FT GEORGE AV,approaching,59.0,,07:27:00
38357,27000,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,735.0,184.0,ST NICOLAS AV/FORT GEORGE HILL,< 1 stop away,199.0,,07:41:02
41280,27600,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,707.0,164.0,ST NICHOLAS AV/W 184 ST,< 1 stop away,200.0,2017-08-01 07:43:26,07:47:20
44315,28200,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,658.0,138.0,BROADWAY/W 168 ST,< 1 stop away,164.0,2017-08-01 07:53:14,07:57:00
47416,28800,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,605.0,124.0,W 155 ST/ST NICHOLAS AV,approaching,121.0,2017-08-01 08:03:06,08:05:16
50487,29400,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,549.0,110.0,ST NICHOLAS AV/W 138 ST,approaching,147.0,2017-08-01 08:12:21,08:14:19
53551,30000,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,483.0,76.0,MANHATTAN AV/W 116 ST,< 1 stop away,223.0,2017-08-01 08:23:15,08:26:34
56582,30600,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,446.0,81.0,CENTRAL PK N/MALCOLM X BL,< 1 stop away,208.0,2017-08-01 08:32:09,08:35:42
59563,31200,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,402.0,82.0,5 AV/EAST 98 ST,approaching,97.0,,08:45:04
62478,31800,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,343.0,50.0,5 AV/EAST 78 ST,< 1 stop away,208.0,2017-08-01 08:53:29,08:57:13
65284,32400,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,298.0,26.0,5 AV/E 65 ST,approaching,68.0,2017-08-01 09:02:51,09:04:42
67964,33000,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,257.0,3.0,5 AV/W 53 ST,approaching,50.0,2017-08-01 09:11:58,09:12:26
70514,33600,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,206.0,-24.0,5 AV/W 35 ST,approaching,75.0,2017-08-01 09:22:26,09:21:49
72971,34200,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,159.0,-50.0,5 AV/W 20 ST,approaching,113.0,,09:29:28
75342,34800,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,110.0,-52.0,E 8 ST/LAFAYETTE ST,at stop,0.0,,09:38:00
77632,35400,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,110.0,-52.0,4 AV/E 10 ST,< 1 stop away,154.0,,
79850,36000,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,110.0,-52.0,4 AV/E 10 ST,< 1 stop away,154.0,,
82005,36600,0,M3,4 AV/E 10 ST,40.731342,-73.990288,FT GEORGE 193 ST via MADSON via ST. NICH,40.858093,-73.925537,NYCT_6757,129.0,-47.0,UNION SQ E/E 15 ST,< 1 stop away,167.0,2017-08-01 10:13:33,10:03:51
84094,37200,0,M3,4 AV/E 10 ST,40.731342,-73.990288,FT GEORGE 193 ST via MADSON via ST. NICH,40.858093,-73.925537,NYCT_6757,165.0,-32.0,E 25 ST/PARK AV S,at stop,23.0,2017-08-01 10:21:57,10:09:46
86164,37800,0,M3,4 AV/E 10 ST,40.731342,-73.990288,FT GEORGE 193 ST via MADSON via ST. NICH,40.858093,-73.925537,NYCT_6757,201.0,-20.0,MADISON AV/E 37 ST,< 1 stop away,183.0,2017-08-01 10:34:05,10:19:41
92186,39600,0,M3,4 AV/E 10 ST,40.731342,-73.990288,FT GEORGE 193 ST via MADSON via ST. NICH,40.858093,-73.925537,NYCT_6757,441.0,91.0,CENTRAL PK N/MALCOLM X BL,approaching,71.0,2017-08-01 11:02:44,11:05:26
94177,40200,0,M3,4 AV/E 10 ST,40.731342,-73.990288,FT GEORGE 193 ST via MADSON via ST. NICH,40.858093,-73.925537,NYCT_6757,503.0,87.0,ST NICHOLAS AV/W 127 ST,< 1 stop away,226.0,2017-08-01 11:14:38,11:19:31
96166,40800,0,M3,4 AV/E 10 ST,40.731342,-73.990288,FT GEORGE 193 ST via MADSON via ST. NICH,40.858093,-73.925537,NYCT_6757,570.0,117.0,ST NICHOLAS AV/W 145 ST,at stop,13.0,2017-08-01 11:22:58,11:28:30
98162,41400,0,M3,4 AV/E 10 ST,40.731342,-73.990288,FT GEORGE 193 ST via MADSON via ST. NICH,40.858093,-73.925537,NYCT_6757,607.0,124.0,AMSTERDAM AV/W 158 ST,< 1 stop away,212.0,2017-08-01 11:33:22,11:35:49
100131,42000,0,M3,4 AV/E 10 ST,40.731342,-73.990288,FT GEORGE 193 ST via MADSON via ST. NICH,40.858093,-73.925537,NYCT_6757,648.0,135.0,ST NICHOLAS AV/W 167 ST,approaching,76.0,2017-08-01 11:42:37,11:41:00
102100,42600,0,M3,4 AV/E 10 ST,40.731342,-73.990288,FT GEORGE 193 ST via MADSON via ST. NICH,40.858093,-73.925537,NYCT_6757,692.0,157.0,ST NICHOLAS AV/W 181 ST,at stop,27.0,2017-08-01 11:52:51,11:47:39
104102,43200,0,M3,4 AV/E 10 ST,40.731342,-73.990288,FT GEORGE 193 ST via MADSON via ST. NICH,40.858093,-73.925537,NYCT_6757,735.0,184.0,FT GEORGE AV/66 FT GEORGE AV,approaching,59.0,2017-08-01 12:02:58,11:55:00
106110,43800,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,692.0,156.0,ST NICHOLAS AV/W 181 ST,approaching,36.0,2017-08-01 12:12:43,12:15:06
108134,44400,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,647.0,132.0,W 166 ST/ST NICHOLAS AV,approaching,86.0,2017-08-01 12:23:46,12:24:08
110168,45000,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,603.0,126.0,W 155 ST/ST NICHOLAS AV,approaching,44.0,2017-08-01 12:32:51,12:30:55
112184,45600,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,553.0,111.0,ST NICHOLAS AV/W 138 ST,< 1 stop away,228.0,2017-08-01 12:42:25,12:39:36
114239,46200,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,484.0,77.0,MANHATTAN AV/W 116 ST,< 1 stop away,260.0,2017-08-01 12:53:37,12:50:35
116283,46800,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,436.0,99.0,CENTRAL PK N/5 AV,approaching,42.0,2017-08-01 13:02:52,13:00:00
118359,47400,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,409.0,86.0,5 AV/EAST 98 ST,< 1 stop away,278.0,2017-08-01 13:15:22,13:07:22
120470,48000,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,343.0,50.0,5 AV/EAST 78 ST,< 1 stop away,214.0,2017-08-01 13:24:43,13:20:03
122588,48600,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,281.0,16.0,5 AV/W  59 ST,approaching,91.0,2017-08-01 13:33:21,13:32:50
124690,49200,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,234.0,-9.0,5 AV/W 45 ST,approaching,104.0,2017-08-01 13:43:38,13:43:42
126832,49800,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,194.0,-31.0,5 AV/W 31 ST,< 1 stop away,153.0,2017-08-01 13:53:59,13:51:23
129013,50400,1,M3,FT GEORGE AV/66 FORT GEORGE AV,40.85833,-73.92538499999999,EAST VILLAGE 8 ST via 5 AV,40.730038,-73.99131,NYCT_6757,113.0,-58.0,E 8 ST/LAFAYETTE ST,approaching,140.0,2017-08-01 14:03:45,14:06:00
