,RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
30171,25200,0,Bx12-SBS,BROADWAY/ISHAM ST,40.868076,-73.91980699999999,SELECT BUS BAY PLAZA CO-OP CITY,40.865665,-73.827621,NYCT_5312,784.0,207.0,W 207 ST/10 AV,< 1 stop away,576.0,2017-08-01 07:04:33,07:07:16
32677,25800,0,Bx12-SBS,BROADWAY/ISHAM ST,40.868076,-73.91980699999999,SELECT BUS BAY PLAZA CO-OP CITY,40.865665,-73.827621,NYCT_5312,753.0,236.0,W FORDHAM RD/CEDAR AV,approaching,42.0,2017-08-01 07:11:47,07:09:51
35355,26400,0,Bx12-SBS,BROADWAY/ISHAM ST,40.868076,-73.91980699999999,SELECT BUS BAY PLAZA CO-OP CITY,40.865665,-73.827621,NYCT_5312,751.0,312.0,E FORDHAM RD/3 AV,approaching,46.0,2017-08-01 07:22:27,07:17:07
38171,27000,0,Bx12-SBS,BROADWAY/ISHAM ST,40.868076,-73.91980699999999,SELECT BUS BAY PLAZA CO-OP CITY,40.865665,-73.827621,NYCT_5312,728.0,398.0,PELHAM PKWY/WILLIAMSBRIDGE RD,0.6 miles away,909.0,2017-08-01 07:35:20,07:29:09
41090,27600,0,Bx12-SBS,BROADWAY/ISHAM ST,40.868076,-73.91980699999999,SELECT BUS BAY PLAZA CO-OP CITY,40.865665,-73.827621,NYCT_5312,727.0,507.0,AMENDOLA PL/WESTCHESTER AV,0.7 miles away,1138.0,2017-08-01 07:45:57,07:40:00
44109,28200,0,Bx12-SBS,BROADWAY/ISHAM ST,40.868076,-73.91980699999999,SELECT BUS BAY PLAZA CO-OP CITY,40.865665,-73.827621,NYCT_5312,768.0,539.0,Parking Ramp/Access RD,approaching,105.0,2017-08-01 07:52:13,07:44:00
47204,28800,1,Bx12-SBS,PARKING RAMP/ACCESS RD,40.865990000000004,-73.827301,SELECT BUS BROADWAY INWOOD,40.867785999999995,-73.920547,NYCT_5312,765.0,531.0,AMENDOLA PL/WILKINSON AV,0.9 miles away,1503.0,2017-08-01 08:05:13,08:02:00
50272,29400,1,Bx12-SBS,PARKING RAMP/ACCESS RD,40.865990000000004,-73.827301,SELECT BUS BROADWAY INWOOD,40.867785999999995,-73.920547,NYCT_5312,726.0,532.0,PELHAM PKWY/EASTCHESTER RD,0.7 miles away,1187.0,2017-08-01 08:14:25,08:11:15
53349,30000,1,Bx12-SBS,PARKING RAMP/ACCESS RD,40.865990000000004,-73.827301,SELECT BUS BROADWAY INWOOD,40.867785999999995,-73.920547,NYCT_5312,730.0,394.0,PELHAM PKWY/WHITE PLAINS RD,at stop,5.0,2017-08-01 08:22:32,08:18:22
56376,30600,1,Bx12-SBS,PARKING RAMP/ACCESS RD,40.865990000000004,-73.827301,SELECT BUS BROADWAY INWOOD,40.867785999999995,-73.920547,NYCT_5312,736.0,334.0,E FORDHAM RD/WEBSTERAV,< 1 stop away,609.0,2017-08-01 08:34:12,08:26:06
59360,31200,1,Bx12-SBS,PARKING RAMP/ACCESS RD,40.865990000000004,-73.827301,SELECT BUS BROADWAY INWOOD,40.867785999999995,-73.920547,NYCT_5312,758.0,273.0,W FORDHAM RD/UNIVERSITY AV,< 1 stop away,286.0,2017-08-01 08:44:18,08:30:39
62284,31800,1,Bx12-SBS,PARKING RAMP/ACCESS RD,40.865990000000004,-73.827301,SELECT BUS BROADWAY INWOOD,40.867785999999995,-73.920547,NYCT_5312,765.0,212.0,W 207 ST/10 AV,at stop,22.0,,08:35:14
