,RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
28673,25200,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-202.0,338.0,LIVONIA AV/ASHFORD ST,at stop,0.0,,07:07:00
31113,25800,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-233.0,356.0,ASHFORD ST/WORTMAN AV,at stop,16.0,2017-08-01 07:11:41,07:11:50
33692,26400,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-297.0,291.0,E 103 ST/GLENWOOD RD,at stop,14.0,2017-08-01 07:22:27,07:23:32
36444,27000,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-329.0,257.0,FLATLANDS AV/E 82 ST,< 1 stop away,681.0,2017-08-01 07:34:26,07:35:24
39284,27600,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-366.0,169.0,AV H/E 43 ST (LTD - not allowed),< 1 stop away,416.0,2017-08-01 07:44:10,07:45:33
42265,28200,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-360.0,106.0,GLENWOOD RD/NOSTRAND AV,at stop,7.0,2017-08-01 07:52:03,07:51:00
45328,28800,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-404.0,53.0,AV J/CONEY ISLAND AV,< 1 stop away,236.0,2017-08-01 08:04:02,08:05:00
48408,29400,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-444.0,-5.0,BAY PY/60 ST,at stop,15.0,2017-08-01 08:11:50,08:12:00
51478,30000,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-496.0,-46.0,BAY PY/80 ST,approaching,139.0,2017-08-01 08:22:57,08:20:44
54515,30600,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-558.0,-72.0,SHORE PKY/BAYSIDE OIL,approaching,113.0,2017-08-01 08:32:10,08:27:16
57513,31200,1,B6,ROCKAWAY STATION/ROCKAWAY STATION,40.645503999999995,-73.90254200000001,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-562.0,-60.0,HARWAY AV/BAY 37 ST,approaching,34.0,2017-08-01 08:42:33,08:02:00
60478,31800,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,ROCK PKY STA,40.645775,-73.902069,NYCT_4862,-532.0,-74.0,BAY PY/BENSON AV,< 1 stop away,244.0,,08:53:34
63353,32400,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,ROCK PKY STA,40.645775,-73.902069,NYCT_4862,-479.0,-32.0,BAY PY/W 12 ST,at stop,24.0,,09:02:19
66140,33000,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,ROCK PKY STA,40.645775,-73.902069,NYCT_4862,-408.0,24.0,AV J/OCEAN PY,approaching,45.0,,09:14:42
68771,33600,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,ROCK PKY STA,40.645775,-73.902069,NYCT_4862,-396.0,91.0,BEDFORD AV/AV I,< 1 stop away,233.0,,09:23:51
71303,34200,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,ROCK PKY STA,40.645775,-73.902069,NYCT_4862,-360.0,104.0,GLENWOOD RD/NOSTRAND AV,at stop,23.0,,09:29:00
73729,34800,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,ROCK PKY STA,40.645775,-73.902069,NYCT_4862,-361.0,206.0,GLENWOOD RD/E 58 ST,at stop,3.0,,09:40:42
76078,35400,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,ROCK PKY STA,40.645775,-73.902069,NYCT_4862,-315.0,274.0,E 96 ST/FLATLANDS AV,at stop,25.0,2017-08-01 09:52:40,09:52:41
78352,36000,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,ROCK PKY STA,40.645775,-73.902069,NYCT_4862,-302.0,272.0,ROCKAWAY PKWY/SUBWAY STATION,at stop,12.0,2017-08-01 10:02:13,09:55:00
80546,36600,1,B6,ROCKAWAY STATION/ROCKAWAY STATION,40.645503999999995,-73.90254200000001,BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-317.0,272.0,FLATLANDS AV/E 94 ST,approaching,135.0,2017-08-01 10:12:46,10:09:05
82674,37200,1,B6,ROCKAWAY STATION/ROCKAWAY STATION,40.645503999999995,-73.90254200000001,BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-364.0,195.0,AV H/E 56 ST,at stop,2.0,2017-08-01 10:21:57,10:19:27
84753,37800,1,B6,ROCKAWAY STATION/ROCKAWAY STATION,40.645503999999995,-73.90254200000001,BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-358.0,100.0,GLENWOOD RD/FLATBUSH AV,approaching,31.0,2017-08-01 10:32:50,10:31:59
86814,38400,1,B6,ROCKAWAY STATION/ROCKAWAY STATION,40.645503999999995,-73.90254200000001,BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-402.0,61.0,AV J/E 15 ST,approaching,97.0,2017-08-01 10:42:31,10:42:19
88841,39000,1,B6,ROCKAWAY STATION/ROCKAWAY STATION,40.645503999999995,-73.90254200000001,BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-444.0,-5.0,BAY PY/60 ST,at stop,11.0,2017-08-01 10:52:41,10:51:00
90845,39600,1,B6,ROCKAWAY STATION/ROCKAWAY STATION,40.645503999999995,-73.90254200000001,BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-520.0,-65.0,BAY PY/BENSON AV,< 1 stop away,165.0,2017-08-01 11:03:16,11:01:53
96819,41400,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,LTD EAST NY NEW LOTS STA,40.66642,-73.883385,NYCT_4862,-534.0,-75.0,BAY PY/BATH AV,at stop,12.0,,11:32:00
98799,42000,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,LTD EAST NY NEW LOTS STA,40.66642,-73.883385,NYCT_4862,-465.0,-22.0,BAY PY/WEST 8 ST,approaching,62.0,,11:44:34
100768,42600,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,LTD EAST NY NEW LOTS STA,40.66642,-73.883385,NYCT_4862,-405.0,41.0,AV J/CONEY ISLAND AV,approaching,107.0,,11:56:00
102745,43200,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,LTD EAST NY NEW LOTS STA,40.66642,-73.883385,NYCT_4862,-366.0,87.0,GLENWOOD RD/FLATBUSH AV,< 1 stop away,387.0,,12:07:05
104756,43800,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,LTD EAST NY NEW LOTS STA,40.66642,-73.883385,NYCT_4862,-366.0,144.0,AV H/UTICA AV,< 1 stop away,760.0,,12:15:24
106760,44400,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,LTD EAST NY NEW LOTS STA,40.66642,-73.883385,NYCT_4862,-369.0,211.0,FLATLANDS AV/RALPH AV,approaching,81.0,,12:20:10
108775,45000,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,LTD EAST NY NEW LOTS STA,40.66642,-73.883385,NYCT_4862,-291.0,287.0,GLENWOOD RD/E 103 ST,at stop,21.0,2017-08-01 12:32:49,12:30:23
110803,45600,0,B6,HARWAY AV/BAY 37 ST,40.593509999999995,-73.993996,LTD EAST NY NEW LOTS STA,40.66642,-73.883385,NYCT_4862,-242.0,359.0,ASHFORD ST/COZINE AV,approaching,112.0,2017-08-01 12:42:13,12:37:00
112839,46200,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-204.0,340.0,ASHFORD ST/NEW LOTS AV,at stop,11.0,2017-08-01 12:52:23,12:53:46
114894,46800,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-246.0,352.0,COZINE AV/VAN SICLEN AV,< 1 stop away,242.0,2017-08-01 13:03:23,13:00:17
116947,47400,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-297.0,292.0,E 103 ST/GLENWOOD RD,at stop,0.0,,13:09:51
119021,48000,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-309.0,273.0,FLATLANDS AV / ROCKAWAY PY,approaching,139.0,2017-08-01 13:23:34,13:17:16
121153,48600,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-367.0,211.0,RALPH AV/FLATLANDS AV,at stop,21.0,2017-08-01 13:32:54,13:26:38
123259,49200,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883614,LTD BENSONHURST HARWAY AV,40.592949,-73.993385,NYCT_4862,-357.0,144.0,GLENWOOD RD/ALBANY AV,at stop,14.0,2017-08-01 13:42:54,13:36:00
