,RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
57558,31200,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,0.0,-146.0,WEST THAMES ST/SOUTH END AV,approaching,96.0,,08:30:10
60525,31800,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,38.0,-137.0,MURRAY ST/NORTH END AV,approaching,38.0,,08:37:45
63396,32400,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,56.0,-116.0,HUDSON ST/NORTH MOORE ST,approaching,89.0,,08:44:17
66181,33000,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,126.0,-107.0,HUDSON ST/PERRY ST,< 1 stop away,222.0,,08:54:18
68812,33600,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,186.0,-77.0,8 AV/W 25 ST,approaching,146.0,,09:05:50
71339,34200,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,223.0,-58.0,8 AV/W 37 ST,approaching,93.0,2017-08-01 09:31:59,09:14:49
73761,34800,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,277.0,-28.0,8 AV/W  56 ST,< 1 stop away,257.0,2017-08-01 09:44:00,09:27:51
80571,36600,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,259.0,-24.0,7 AV/W 44 ST,< 1 stop away,441.0,2017-08-01 10:17:14,10:18:01
82698,37200,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,217.0,-47.0,7 AV/W 34 ST,< 1 stop away,181.0,2017-08-01 10:23:15,10:26:00
84781,37800,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,158.0,-79.0,7 AV/WEST 14 ST,< 1 stop away,215.0,2017-08-01 10:33:58,10:39:00
86840,38400,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,94.0,-104.0,VARICK ST/CHARLTON ST,at stop,11.0,2017-08-01 10:42:16,10:46:56
88868,39000,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,45.0,-129.0,CHAMBERS ST/WEST ST,at stop,16.0,2017-08-01 10:52:41,10:58:00
90872,39600,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,-11.0,-149.0,BATTERY PL/WASHINGTON ST,< 1 stop away,232.0,2017-08-01 11:03:26,11:09:49
96848,41400,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,-22.0,-137.0,STATE ST/BRIDGE ST,approaching,119.0,2017-08-01 11:32:00,11:26:10
98825,42000,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,36.0,-133.0,MURRAY ST/NORTH END AV,< 1 stop away,168.0,2017-08-01 11:42:43,11:35:28
98826,42000,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,36.0,-133.0,MURRAY ST/NORTH END AV,< 1 stop away,168.0,2017-08-01 11:42:43,11:32:17
100793,42600,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,104.0,-110.0,HUDSON ST/BARROW ST,< 1 stop away,289.0,2017-08-01 11:53:56,11:48:43
100794,42600,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,104.0,-110.0,HUDSON ST/BARROW ST,< 1 stop away,289.0,2017-08-01 11:53:56,11:42:12
102771,43200,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,160.0,-92.0,8 AV/W 17 ST,< 1 stop away,201.0,2017-08-01 12:04:10,11:58:14
102772,43200,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,160.0,-92.0,8 AV/W 17 ST,< 1 stop away,201.0,2017-08-01 12:04:10,11:52:57
104781,43800,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,218.0,-60.0,8 AV/W 37 ST,< 1 stop away,203.0,2017-08-01 12:14:28,12:18:13
104782,43800,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,218.0,-60.0,8 AV/W 37 ST,< 1 stop away,203.0,2017-08-01 12:14:28,12:05:49
106787,44400,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,240.0,-48.0,8 AV/W 43 ST,approaching,151.0,2017-08-01 12:25:16,12:24:48
106788,44400,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,240.0,-48.0,8 AV/W 43 ST,approaching,151.0,2017-08-01 12:25:16,12:10:57
108801,45000,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,286.0,-23.0,8 AV/W  56 ST,at stop,1.0,2017-08-01 12:32:49,12:34:12
108802,45000,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,286.0,-23.0,8 AV/W  56 ST,at stop,1.0,2017-08-01 12:32:49,12:15:54
112864,46200,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,313.0,-20.0,BROADWAY/W 64 ST,at stop,0.0,2017-08-01 12:52:23,12:45:00
112865,46200,0,M20,STATE ST/WHITEHALL ST,40.702419,-74.013046,LINCOLN CENTER 66 ST via 8 AV,40.771797,-73.982361,NYCT_6735,313.0,-20.0,BROADWAY/W 64 ST,at stop,0.0,2017-08-01 12:52:23,12:22:00
114919,46800,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,299.0,-20.0,COL circle- does not stop,approaching,105.0,2017-08-01 13:03:21,13:02:22
114920,46800,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,299.0,-20.0,COL circle- does not stop,approaching,105.0,2017-08-01 13:03:21,13:02:57
116970,47400,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,263.0,-22.0,7 AV/W 50 ST,approaching,102.0,2017-08-01 13:12:42,13:10:31
116971,47400,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,263.0,-22.0,7 AV/W 50 ST,approaching,102.0,2017-08-01 13:12:42,13:13:09
119047,48000,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,227.0,-42.0,7 AV/W 39 ST,approaching,54.0,2017-08-01 13:22:53,13:17:02
119048,48000,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,227.0,-42.0,7 AV/W 39 ST,approaching,54.0,2017-08-01 13:22:53,13:21:17
121179,48600,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,190.0,-62.0,7 AV/W 25 ST,< 1 stop away,191.0,2017-08-01 13:33:51,13:24:28
121180,48600,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,190.0,-62.0,7 AV/W 25 ST,< 1 stop away,191.0,2017-08-01 13:33:51,13:31:15
123286,49200,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,135.0,-91.0,7 AV S/WAVERLY PL,at stop,17.0,2017-08-01 13:42:54,13:34:05
123287,49200,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,135.0,-91.0,7 AV S/WAVERLY PL,at stop,17.0,2017-08-01 13:42:54,13:41:16
125390,49800,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,59.0,-109.0,VARICK ST/NORTH MOORE ST,at stop,2.0,2017-08-01 13:52:55,13:49:03
125391,49800,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,59.0,-109.0,VARICK ST/NORTH MOORE ST,at stop,2.0,2017-08-01 13:52:55,13:51:47
127542,50400,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,35.0,-143.0,VESEY ST/NORTH END AV,approaching,48.0,2017-08-01 14:03:05,13:54:16
127543,50400,1,M20,BROADWAY/W 63 ST,40.770882,-73.982338,SOUTH FERRY via 7 AV via BAT PK CITY,40.70237,-74.013039,NYCT_6735,35.0,-143.0,VESEY ST/NORTH END AV,approaching,48.0,2017-08-01 14:03:05,14:00:16
