,RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
31358,25800,1,M15,E 126 ST/2 AV,40.80323,-73.932449,PIKE ST - DIVISION ST via 2 AV,40.710823,-73.99192,NYCT_5627,463.0,156.0,2 AV/E 122 ST,< 1 stop away,234.0,,07:09:47
33956,26400,1,M15,E 126 ST/2 AV,40.80323,-73.932449,PIKE ST - DIVISION ST via 2 AV,40.710823,-73.99192,NYCT_5627,395.0,119.0,2 AV/E 103 ST,at stop,0.0,,07:18:28
33957,26400,1,M15,E 126 ST/2 AV,40.80323,-73.932449,PIKE ST - DIVISION ST via 2 AV,40.710823,-73.99192,NYCT_5627,395.0,119.0,2 AV/E 103 ST,at stop,0.0,,07:18:36
36718,27000,1,M15,E 126 ST/2 AV,40.80323,-73.932449,PIKE ST - DIVISION ST via 2 AV,40.710823,-73.99192,NYCT_5627,360.0,100.0,2 AV/E 89 ST,< 1 stop away,216.0,,07:24:28
36719,27000,1,M15,E 126 ST/2 AV,40.80323,-73.932449,PIKE ST - DIVISION ST via 2 AV,40.710823,-73.99192,NYCT_5627,360.0,100.0,2 AV/E 89 ST,< 1 stop away,216.0,,07:24:34
39578,27600,1,M15,E 126 ST/2 AV,40.80323,-73.932449,PIKE ST - DIVISION ST via 2 AV,40.710823,-73.99192,NYCT_5627,301.0,68.0,2 AV/E 72 ST,approaching,71.0,,07:32:38
42568,28200,1,M15,E 126 ST/2 AV,40.80323,-73.932449,PIKE ST - DIVISION ST via 2 AV,40.710823,-73.99192,NYCT_5627,263.0,48.0,2 AV/E 61 ST,at stop,2.0,,07:39:20
45617,28800,1,M15,E 126 ST/2 AV,40.80323,-73.932449,PIKE ST - DIVISION ST via 2 AV,40.710823,-73.99192,NYCT_5627,198.0,13.0,2 AV/E 39 ST,approaching,87.0,,07:51:31
48706,29400,1,M15,E 126 ST/2 AV,40.80323,-73.932449,PIKE ST - DIVISION ST via 2 AV,40.710823,-73.99192,NYCT_5627,151.0,-13.0,2 AV/E 23 ST,approaching,126.0,2017-08-01 08:12:27,08:00:58
51784,30000,1,M15,E 126 ST/2 AV,40.80323,-73.932449,PIKE ST - DIVISION ST via 2 AV,40.710823,-73.99192,NYCT_5627,75.0,-45.0,ALLEN ST/E HOUSTON ST,approaching,82.0,2017-08-01 08:22:44,08:14:00
54825,30600,1,M15,E 126 ST/2 AV,40.80323,-73.932449,PIKE ST - DIVISION ST via 2 AV,40.710823,-73.99192,NYCT_5627,31.0,-58.0,PIKE ST/MADISON ST,< 1 stop away,159.0,2017-08-01 08:32:36,08:24:00
57813,31200,0,M15,PIKE ST/CHERRY ST,40.710861,-73.991936,EAST HARLEM 125 ST via 1 AV,40.80315,-73.932266,NYCT_5627,35.0,-57.0,ALLEN ST/GRAND ST,< 1 stop away,288.0,2017-08-01 08:44:19,08:42:59
60769,31800,0,M15,PIKE ST/CHERRY ST,40.710861,-73.991936,EAST HARLEM 125 ST via 1 AV,40.80315,-73.932266,NYCT_5627,81.0,-39.0,1 AV / 4 ST,approaching,143.0,2017-08-01 08:52:47,08:51:00
63633,32400,0,M15,PIKE ST/CHERRY ST,40.710861,-73.991936,EAST HARLEM 125 ST via 1 AV,40.80315,-73.932266,NYCT_5627,137.0,-9.0,1 AV/E 23 ST,< 1 stop away,180.0,2017-08-01 09:03:27,09:04:00
66411,33000,0,M15,PIKE ST/CHERRY ST,40.710861,-73.991936,EAST HARLEM 125 ST via 1 AV,40.80315,-73.932266,NYCT_5627,185.0,17.0,1 AV/E 39 ST,< 1 stop away,211.0,2017-08-01 09:12:53,09:12:17
69023,33600,0,M15,PIKE ST/CHERRY ST,40.710861,-73.991936,EAST HARLEM 125 ST via 1 AV,40.80315,-73.932266,NYCT_5627,247.0,50.0,1 AV/E 57 ST,approaching,69.0,2017-08-01 09:22:05,09:21:00
