Ep,Step,Reward,Total_reward,Action,Epsilon,Done,Termination_Code
1.0,1.0,0.021791357767230155,0.021791357767230155,1.0,1.0,0.0
1.0,2.0,0.053386851856734724,0.07517820962396488,3.0,1.0,0.0
1.0,3.0,0.08241772607282515,0.15759593569679003,5.0,1.0,0.0
1.0,4.0,0.05829026616808076,0.21588620186487079,3.0,1.0,0.0
1.0,5.0,0.015846430115239583,0.23173263198011038,1.0,1.0,0.0
1.0,6.0,0.0035975289180657536,0.23533016089817613,0.0,1.0,0.0
1.0,7.0,0.15363059038954555,0.3889607512877217,9.0,1.0,0.0
1.0,8.0,0.018623015249059002,0.4075837665367807,1.0,1.0,0.0
1.0,9.0,0.08757156067076284,0.4951553272075435,5.0,1.0,0.0
1.0,10.0,0.11707932728111745,0.612234654488661,7.0,1.0,0.0
1.0,11.0,0.0013576644110194422,0.6135923188996805,0.0,1.0,0.0
1.0,12.0,0.01758357118027125,0.6311758900799517,1.0,1.0,0.0
1.0,13.0,0.13527587200816904,0.7664517620881207,8.0,1.0,0.0
1.0,14.0,0.06358851630001416,0.8300402783881349,4.0,1.0,0.0
1.0,15.0,0.11530747266305068,0.9453477510511855,7.0,1.0,0.0
1.0,16.0,0.10437000292398724,1.0497177539751728,6.0,1.0,0.0
1.0,17.0,0.035924028189010436,1.0856417821641833,2.0,1.0,0.0
