RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
2017-10-01 00:03:35,1,B41,CADMAN PLAZA WEST/JOHNSON ST,40.695535,-73.990829,KINGS PLAZA via FLATBSH,40.609212,-73.921513,NYCT_4231,40.661024,-73.960968,FLATBUSH AV/LINCOLN RD,at stop,6,2017-10-01 00:03:55,24:03:08
2017-10-01 00:03:33,1,S48,ST GEORGE FERRY/S48 & S98,40.643473,-74.073556,ARLINGTON HOLLAND AV via FOREST,40.637625,-74.171153,NYCT_8236,40.643373,-74.073576,BAY ST/NICK LAPORTE PL,< 1 stop away,284,2017-10-01 00:03:59,24:00:46
2017-10-01 00:03:27,0,M100,1 AV/125 ST,40.801966,-73.931361,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8379,40.810365,-73.95163,W 125 ST/FRED DOUGLASS BL,at stop,0,2017-10-01 00:03:55,23:55:41
2017-10-01 00:03:44,0,Bx15,ST CLAIRE PL/W 125 ST,40.817065,-73.959775,FORDHAM PLZ via 3 AV,40.86099,-73.890265,NYCT_717,40.829349,-73.90661,3 AV/E 168 ST,< 1 stop away,236,2017-10-01 00:04:43,24:08:00
2017-10-01 00:03:06,1,M116,PLEASANT AV/E 120 ST,40.797246,-73.931695,WEST SIDE BWAY - 106 ST XTOWN,40.801329,-73.967601,NYCT_3870,40.800364,-73.965538,W 106 ST/AMSTERDAM AV,approaching,55,2017-10-01 00:03:55,23:59:23
2017-10-01 00:03:45,0,B44,EMMONS AV/NOSTRAND AV,40.584026,-73.93844,WILLAMSBURG BRIDGE PLZ via NOSTRAND,40.709315,-73.959588,NYCT_5145,40.592014,-73.940187,NOSTRAND AV/AV Y,at stop,0,NA,24:00:53
2017-10-01 00:03:24,1,Q46,L.I.J.MEDICAL RDWY/271 ST,40.755066,-73.706419,KEW GARDENS QUEENS BL via UNION,40.714733,-73.831235,NYCT_6867,40.722825,-73.800709,UNION TP/166 ST,approaching,151,2017-10-01 00:03:55,24:06:48
2017-10-01 00:03:53,0,Q58,PALMETTO ST/MYRTLE AV,40.700178,-73.910254,FLUSHING MAIN ST,40.757344,-73.829362,NYCT_4523,40.713282,-73.90078,FRESH POND RD/ELIOT AV,< 1 stop away,193,2017-10-01 00:04:56,23:46:13
2017-10-01 00:03:37,0,Bx31,TREMONT AV/LANE AV,40.840864,-73.842457,WOODLAWN KATONAH AV,40.902777,-73.868318,NYCT_7706,40.857021,-73.84382,EASTCHESTER RD/PELHAM PY S,at stop,0,2017-10-01 00:03:55,24:03:33
2017-10-01 00:03:32,1,B82,SEAVIEW AV/PENNSYLVANIA AV,40.64298,-73.878336,CNY ISLND STILLWELL AV via FLATLANDS AV,40.576973,-73.981396,NYCT_6831,40.60639,-73.988931,BAY PY/80 ST,< 1 stop away,210,2017-10-01 00:04:27,24:05:38
